Name,City,Latitude,Longitude,Biogenic,Fossil,Total,Qwaste,Qdh,P,Qfgc,Connected,CCUSmix,Comment,Unnamed: 14,Oygarden_distance,Kalundborg_distance,Truck_distance,Pipeline_distance,Rail_distance,gasification_distance_km,Description,Unnamed: 8,FLH,nC_pl,nH_pl,nO_pl,nC_bio,nH_bio,nO_bio,m_pl,m_bio,m_ash,m_h2o,m_tot,x_pl,x_bio,x_ash,x_h2o,LHV_pl,LHV_bio,LHV_biowet,LHV_tot,Qlhv
Renova,Goteborg,57.732,12.053,321,223,544,171,126,45,38.0,False,CCS,Boiler: 171 MW thermal,,622,222,15.0,,,268,Truck then ship,,7895.883080387023,5068181.818181817,8671659.09090909,815977.2727272726,7295454.545454546,8973409.090909092,4231363.636363637,82545477.27272727,164220681.8181818,64022454.37371192,174818595.07384932,485607208.5384703,0.16998404434967923,0.33817595565032077,0.13183999999999998,0.36,34.76565113280531,20.0082985339849,8.40235964901287,11.775931461671506,201.1764705882353
Hogbytorp,Bro,59.5453,17.6197,184,123,307,99,70,29,22.0,False,CCS,Boiler: 99 MW thermal,,1490,855,10.0,,74.0,260, Truck then train then ship,,7677.058570154828,2795454.5454545454,4783022.7272727275,450068.1818181818,4181818.181818182,5143636.363636364,2425454.5454545454,45529568.18181818,94132727.27272728,36234802.095259905,98942117.37176552,274839214.9215709,0.1656589224169144,0.34250107758308557,0.13183999999999998,0.36,34.76565113280532,20.008298533984895,8.473814487195353,11.712104112276807,116.47058823529412
Filbornaverket,Helsingborg,56.0675,12.7367,122,92,214,69,52,17,20.0,False,CCS,Boiler: 69 MW thermal,,800,151,17.0,,,347, Truck then ship,,7739.913920924465,2090909.0909090908,3577545.4545454546,336636.36363636365,2772727.2727272725,3410454.545454545,1608181.818181818,34054636.36363636,62414090.9090909,25028410.35035493,68342139.91298372,189839277.53606588,0.1793866727983445,0.32877332720165564,0.13184,0.36,34.76565113280532,20.0082985339849,8.243923880925474,11.914689365044165,81.17647058823529
Garstadverket,Linkoping,58.437,15.655,321,278,599,175,135,40,38.5,False,CCS,"2 waste-fired CHP boilers on site, 81 + 94 MW thermal",,1507,842,51.0,,,46, Truck then ship,,8621.70530727262,6318181.818181817,10810409.09090909,1017227.2727272726,7295454.545454545,8973409.09090909,4231363.636363636,102904227.27272727,164220681.8181818,69304447.44675978,189241513.0524387,525670869.59010756,0.19575790333020918,0.31240209666979085,0.13183999999999998,0.36,34.76565113280531,20.008298533984895,7.957492160289354,12.156285386479464,205.88235294117646
Sjolunda,Malmo,55.6167,13.0333,303,283,586,170,130,40,6.0,False,CCS,"2 waste-fired CHP boilers on site, 85 + 85 MW thermal",,848,206,,1000.0,,428, Pipeline then ship,,8726.849325360423,6431818.181818183,11004840.90909091,1035522.7272727274,6886363.636363637,8470227.272727273,3994090.909090909,104755022.72727273,155012045.45454544,67395486.20334326,184028936.84165332,511191491.22681475,0.20492325190286298,0.30323674809713697,0.13184,0.36000000000000004,34.76565113280531,20.0082985339849,7.790960614331799,12.291541667057212,200.0
Handeloverket,Norrkoping,58.621,16.232,239,256,495,160,120,40,28.0,True,CCU,"1 waste-fired + 1 biomass-fired CHP boilers on site, 160 + 289 MW thermal, 28MWfgc is new",,1507,842,,500.0,,96, Pipeline then ship,,7904.490885861875,5818181.818181818,9954909.090909092,936727.2727272728,5431818.181818182,6681136.363636363,3150454.545454545,94760727.27272727,122270227.27272727,56307779.13899702,153753037.697504,427091771.3819556,0.2218743923960574,0.2862856076039425,0.13183999999999998,0.36,34.76565113280531,20.008298533984895,7.470517440149607,12.541695624267419,188.23529411764707
Bristaverket,Stockholm,59.615,17.873,136,93,229,74,57,17,12.0,True,CCS,"1 waste-fired + 1 biomass-fired CHP boilers on site, 74 + 116 MW thermal",,1587,911,,1000.0,40.0,278, Pipeline then train then ship,,7672.682862981037,2113636.3636363633,3616431.818181818,340295.4545454545,3090909.090909091,3801818.1818181816,1792727.2727272725,34424795.454545446,69576363.63636363,26982668.47950537,73678403.00835812,204662230.57877254,0.1682029720735193,0.33995702792648075,0.13183999999999998,0.36000000000000004,34.76565113280532,20.0082985339849,8.431891484771512,11.749647550088236,87.05882352941177
Vasteras KVV,Vasteras,59.588,16.514,331,158,489,158,110,48,30.0,True,CCU,"1 waste-fired + 2 biomass-fired CHP boilers on site, 158 + 150 + 170 MW thermal",,1607,948,,200.0,,190, Pipeline then ship,,7498.645044833138,3590909.090909091,6144045.454545455,578136.3636363636,7522727.272727273,9252954.545454547,4363181.818181818,58485136.36363637,169336590.90909094,59107400.274788186,161397634.24547747,448326761.79299295,0.13045203041133838,0.37770796958866165,0.13183999999999998,0.36,34.76565113280531,20.008298533984895,9.024294285321695,11.192543593041929,185.88235294117646
Hogdalenverket,Stockholm,59.2565,18.0614,471,325,796,257,186,71,36.0,True,CCS,"1 waste-fired + 1 biomass-fired CHP boilers on site, 98 257 (check old data) + 159 MW thermal",,1587,911,20.0,,,240, Truck then ship,,7683.923942130136,7386363.636363637,12638068.181818184,1189204.5454545456,10704545.454545455,13166590.90909091,6208636.363636363,120301704.54545456,240959318.1818182,93727670.883902,255931140.1562858,710919833.7674606,0.16921978939302576,0.3389402106069742,0.13183999999999998,0.36,34.7656511328053,20.0082985339849,8.41505014268436,11.764653081800775,302.3529411764706
Bolanderna,Uppsala,59.8533,17.6747,205,156,361,149,139,10,29.0,True,CCU,Several smaller boilers to common stack (ref: Bolanderna Uppsala MSc thesis),,1724,1033,67.0,,,273, Truck then ship,,6050.009651246533,3545454.545454545,6066272.727272727,570818.1818181818,4659090.909090909,5730681.818181818,2702272.727272727,57744818.18181817,104876136.36363636,42191330.77627661,115206910.49347378,320019195.8152049,0.18044173267394534,0.3277182673260547,0.13183999999999998,0.36000000000000004,34.76565113280531,20.008298533984895,8.22587561865342,11.93025925564127,175.29411764705884
