City,Name,Latitude,Longitude
Boden,Boden KVV P18,65.81718348677168, 21.692664788948722
Bollnas,Saverstaverket,61.35654981196255, 16.375697283453352
Borlange,Backelund,60.486588857938514, 15.412678115662004
Boras,Ryaverket G2,57.731022409104376, 12.967038665671632
Bro,Hogbytorp,59.54221340966862, 17.616313570050057
Eksjo,Eksjo KVV,57.66017960466722, 14.973879958213347
Goteborg,Renova ,57.73120519192416, 12.051467354468171
Halmstad,Kristinehedsverket ,56.664436535194454, 12.821145147766623
Helsingborg,Filbornaverket ,56.03705806578539, 12.704494121735236
Hassleholm,Beleverket,56.175121883762394, 13.787350067312635
Jonkoping,Torsvik 1 KVV ,57.75213831882501, 14.173817108120659
Karlskoga,Karlskoga KVV,59.32256652623024, 14.542133024653895
Kiruna,Kiruna KVV,67.84191343850708, 20.22957990490531
Lidkoping,Filen Panncentral T1 ,58.51444128096451, 13.132785067638613
Linkoping,Gardestadverket Glashuset ,58.3981591121188, 15.62722743713145
Ljungby,Ljungsjo 1 ,56.84158663256621, 13.916139516035548
Malmo,Sjolunda 1 ,55.60223868088, 12.954940119350557
Norrkoping,Handeloverket G13 ,58.60179145657472, 16.221428023921682
Nybro,Transtorp,56.741048165986726, 15.944712529456929
Skovde,Varmekallan Block 3 ,58.402732430077045, 13.860580036232795
Stockholm (North),Bristaverket 2 ,59.60918162163484, 17.863368471296106
Stockholm (South),Hogdalen G1 ,59.25814041724786, 18.05799319094492
Sundsvall,Korstaverket 2,62.40863614713538, 17.28985404415675
Uddevalla,Lillesjoverket,58.365776548208395, 11.935020021590832
Uppsala,Uppsala Block 5 ,59.86934970712491, 17.618754166777915
Umea,Dava 1 ,63.83768727438969, 20.193937315499024
Vasteras,Vasteras Block 6 ,59.62893913092603, 16.51008522215848
Vastervik,Stegeholmsverket,57.7628105222303, 16.62514068463732
orebro,SAKAB Kumla ,59.277106110708615, 15.243655365848815
