Beskrivning KN,Category,Varuimport 2016 (ton),Varuimport 2019 (ton),Varuimport 2023 (ton),Varuexport 2016 (ton),Varuexport 2019 (ton),Varuexport 2023 (ton),Varuproduktion 2016 (ton),Varuproduktion 2019 (ton),Varuproduktion 2023 (ton),Satt pa marknaden 2016 (ton),Satt pa marknaden 2019 (ton),Satt pa marknaden 2023 (ton)
KAPITEL 39:PLASTER OCH PLASTVAROR,,,,,,,,,,,,,
"Polyeten med en specifik vikt av < 0,94 LD, i obearbetad form","Polymerer av eten, i obearbetad form",223672,194701,141156,296806,262279,278452,206149,188025,DS,133015,120447,DS
"Polyeten med en specifik vikt av <= 0.94 HD,i obearbetad form","Polymerer av eten, i obearbetad form",109622,104405,103211,274201,290179,232691,357570,309840,DS,192991,124066,DS
Sampolymereraveten och vinyl- acetati obearbetad form,"Polymerer av eten, i obearbetad form",10705,9925,11037,1329,4411,2349,34,21,DS,9410,5535,DS
"Sampolymerer av eten-alfa-olefin, som har en specifik vikt av < 0.94, i obearbetad form","Polymerer av eten, i obearbetad form",0,77187,86762,0,6236,4493,0,0,DS,0,70951,DS
"Polymerer av eten, i obearbetad form (exkl. polyeten samt sampoly- merer av eten och vinylacetat)","Polymerer av eten, i obearbetad form",96783,36830,36361,16985,20163,18575,57530,51395,DS,137328,68062,DS
"Polypropen, i obearbetad form",Polymerer av propen eller av andra olefiner i obearbetod form,120046,127418,119893,29181,20081,26399,23176,29728,DS,114041,137065,DS
"Polyisobuten,i obearbetad form",Polymerer av propen eller av andra olefiner i obearbetod form,2734,4000,4713,152,52,43,0,0,DS,2582,3948,DS
"Sampolymerer med propen, i obearbetad form",Polymerer av propen eller av andra olefiner i obearbetod form,104679,111098,89387,13023,8625,7627,5436,6736,DS,97092,109209,DS
"Polymerer av propen eller av andra olefiner i obearbetad form (ekl. polypropen,polyisobuten och sampolymerer med propen)",Polymerer av propen eller av andra olefiner i obearbetod form,7706,9849,5224,10005,10714,8633,12477,12506,DS,10178,11641,DS
"Polystyren, expanderhar, i obearbetad form","Polymerer ov styren,i obeorhetod form",51815,50348,37097,8049,7536,10899,0,0,0,43766,42812,26198
"Polystyren, i obearhetad form (exklepanderbar)","Polymerer ov styren,i obeorhetod form",17133,16644,16034,1126,2323,938,4,48,DS,16011,14369,DS
"Sampolymerer av styren och akryl- nitril sAN,i obearbetad form","Polymerer ov styren,i obeorhetod form",2513,1528,825,648,166,122,323,46,DS,2188,1408,DS
"Sampolymerer avakrylnitril, buta dien och styren ABs. i obearbetad form","Polymerer ov styren,i obeorhetod form",21148,22989,13881,3108,2807,4538,7026,6263,DS,25066,26445,DS
"Polymerer av styren, i obearbetad form (exkl. polystyrensampoly- merer av styren och akrylnitrilSAN samt sampolymererav akrylnitril. butadien och styren ABS)","Polymerer ov styren,i obeorhetod form",19375,13890,9252,18274,23058,17370,16434,19324,DS,17535,10156,DS
Polyvinylklorid. i obearbetad form. inte blandad med andra amnen,Polymerer av vinylklorid eller av andra halogenerade olefiner i obearbetad form,65338,59548,44198,208469,228232,225318,211459,226958,DS,68328,58274,DS
"Polyvinylklorid, inte mjukgjord, i obearbetad form, blandad med andra amnen",Polymerer av vinylklorid eller av andra halogenerade olefiner i obearbetad form,5259,3422,75,3163,2878,3509,6295,8141,DS,8391,8685,DS
"Polyvinylklorid,mjukgjord, i obearbetad form, blandad med andra amnen",Polymerer av vinylklorid eller av andra halogenerade olefiner i obearbetad form,1138,584,881,7573,6651,3827,8909,12531,DS,2474,6464,DS
"Sampolymerer av vinylklorid och vinylacetat, i obearbetad form",Polymerer av vinylklorid eller av andra halogenerade olefiner i obearbetad form,163,340,91,12,4,31,0,0,0,151,336,60
Sampolymerer med vinylklorid i obearbetad form (exkl. sampoly- merer av vinylklorid och vinyl- acetat),Polymerer av vinylklorid eller av andra halogenerade olefiner i obearbetad form,188,11,70,100,59,34,0,0,0,88,52,36
Polymerer av vinylidenklorid. i obearbetad form,Polymerer av vinylklorid eller av andra halogenerade olefiner i obearbetad form,155,111,58,1316,1505,378,663,2199,DS,-498,805,DS
"Polytetrafluoreten, i obaarbetad form",Polymerer av vinylklorid eller av andra halogenerade olefiner i obearbetad form,757,567,248,3,2,13,30,12,DS,784,577,DS
"Polymerer av viny lklorid eller avandra halogenerade olefiner, i obearbetad form, fluorhaltiga (exklpolytetrafluoreten)",Polymerer av vinylklorid eller av andra halogenerade olefiner i obearbetad form,240,594,294,61,28,110,3,1,DS,182,567,DS
"Polymerer av vinylklorid eller av andra halogenerade olefiner. i obearbetadform (exkl. polyvinyl- klorid,sampolymerer av viny lklorid och vinylacetat, sampolymerer med vinylklorid, polymerer av vinvlidenklorid samt fluorhaltiga polymerer",Polymerer av vinylklorid eller av andra halogenerade olefiner i obearbetad form,110,45,53,23,17,250,0,0,0,87,28,-197
"Polyvinylacetat, ivattendispersion",Polymerer av vinylacetat eller av andra vinylestrar i obearbetad form andra vinylpolymerer i obearbetad form,3280,2897,2639,5948,3337,2646,0,0,DS,-2668,-440,DS
"Polyvinylacetat, i obearbetad form (exkl. i vattendispersion)",Polymerer av vinylacetat eller av andra vinylestrar i obearbetad form andra vinylpolymerer i obearbetad form,43,89,242,30,28,0,0,0,0,13,61,242
Sampolymerer av vinylacetat. i vattendispersion,Polymerer av vinylacetat eller av andra vinylestrar i obearbetad form andra vinylpolymerer i obearbetad form,13560,10110,8987,43571,32317,24571,59248,44780,DS,29237,22573,DS
"Sampolymerer av vinylacetat, i obearbetad form (exkli vatten- dispersion)",Polymerer av vinylacetat eller av andra vinylestrar i obearbetad form andra vinylpolymerer i obearbetad form,4308,6275,4002,50,178,133,0,0,0,4258,6097,3869
"Polyvinylalkohol, aven innehallande ohydrolyserade acetatgrupper, i obearbetad form",Polymerer av vinylacetat eller av andra vinylestrar i obearbetad form andra vinylpolymerer i obearbetad form,3669,3276,2255,94,300,64,0,96,DS,3575,3072,DS
"Sampolymereri obearbetad form (exkl. polyvinylacetat, sampoly- merer av vinylacetat och polyvinyl- alkohol)",Polymerer av vinylacetat eller av andra vinylestrar i obearbetad form andra vinylpolymerer i obearbetad form,2262,1836,2278,130,214,13,116,0,0,2248,1622,2265
"Polymerer av vinylacetat eller av andra vinylestrar i obearbetad form (exkl. polyvinylacetat, sampoly- merer av viny lacetat, polyvinyl- alkohol och sampolymerer)",Polymerer av vinylacetat eller av andra vinylestrar i obearbetad form andra vinylpolymerer i obearbetad form,3322,5252,5374,76,113,666,17,,0,3263,5140,4078
Polymetylmetakrylat. i obearbetad form,Akrylpolymerer i obearbetad form,1884,1906,1832,564,477,677,67,64,DS,1387,1493,DS
"Akrylpolymerer, i obearbetad form (exkl polymetylmetakry lat)",Akrylpolymerer i obearbetad form,98247,118618,103331,45986,47110,50306,68865,67337,DS,121126,138845,DS
Polyacetaler i obearbetad form,Polyacetaler andra polyetrar samt epoxihartser i obearbetad form; polykarbonateralkydhartser polyallylestrar och andra polyestrar i obearbetad form,5637,5953,5129,1839,1660,1418,676,535,DS,4474,4828,DS
Polyetrar i obearbetad form (exkl. polyacetaler och produkteri 300210),Polyacetaler andra polyetrar samt epoxihartser i obearbetad form; polykarbonateralkydhartser polyallylestrar och andra polyestrar i obearbetad form,20187,23213,0,3002,3763,0,4845,4385,0,22030,23835,0
