distance,optimist_0.5Mt,pessimist_0.5Mt,optimist_1Mt,pessimist_1Mt,optimist_2Mt,pessimist_2Mt,optimist_3Mt,pessimist_3Mt
266.688,894.3261904339935,958.3043075901587,711.4691128677912,762.3660392274667,571.5566392552533,669.3962844583377,558.6768425307911,634.8274281042712
711.168,951.4290299380351,1052.5827174677197,756.8965050192578,837.3679539154667,652.2019346664533,753.1441374866044,629.7759743622578,714.0187922685378
1027.86,1000.11304528066,1120.0247828916633,795.6264154,891.0205775,695.9675712,802.8891194,688.4486941,777.7164509
1203.8,1002.4628287766685,1154.6495211186104,797.4957539,918.56582,757.6523965,857.1303679,704.3409197,797.8720946
1416.78,1043.7625844395677,1206.5247612147184,830.3512163,959.8344661,787.6412228,892.4751583,727.4787511,826.1209601
1611.24,1069.636422560537,1241.377831647302,850.9347985,987.5613552,805.7193199,915.1119058,785.1408155,884.6387421
1731.62,1290.8246585411878,1527.148850880704,1026.89811,1214.902627,902.2749468,1039.018754,855.2272141,974.0674489
1907.56,1319.6033248468968,1566.828469156671,1049.792589,1246.469211,920.557407,1062.489753,871.972335,994.8399198
2120.54,1367.839286092669,1628.1619767912896,1088.166056,1295.262254,949.0295483,1097.127722,897.1440341,1024.759531
2315.0,1403.8773969592878,1674.2704592418575,1116.835688,1331.943234,972.7147504,1125.617956,919.1677597,1050.519516
