mass,km,SEK/ton
100000,10,84.0825075
100000,20,84.45751125
100000,30,84.45751125
100000,40,84.45751125
100000,50,167.4150075
100000,60,167.4150075
100000,70,167.4150075
100000,80,167.6025094
100000,90,167.6025094
100000,100,167.6025094
200000,10,83.6279575
200000,20,83.77568625
200000,30,83.77568625
200000,40,83.77568625
200000,50,125.3926933
200000,60,125.3926933
200000,70,125.3926933
200000,80,125.4911792
200000,90,125.4911792
200000,100,125.4911792
300000,10,55.8504575
300000,20,83.6279575
300000,30,83.6279575
300000,40,83.6279575
300000,50,111.4054575
300000,60,111.4054575
300000,70,111.4054575
300000,80,139.1829575
300000,90,139.1829575
300000,100,139.1829575
400000,10,62.7493775
400000,20,83.61375281
400000,30,83.61375281
400000,40,83.61375281
400000,50,104.465628
400000,60,104.465628
400000,70,104.465628
400000,80,125.3112531
400000,90,125.3112531
400000,100,125.3112531
