KPI,Tax 50,Tax 80,Tax 110,Tax 140,Tax 170,Tax 200,Tax 230
mass_taxed,1004 - 1244,1004 - 1244,1004 - 1244,1004 - 1244,1004 - 1244,1004 - 1244,1004 - 1244
granulates_inc,9.9 - 13.8,15.9 - 22.1,21.9 - 30.3,27.8 - 38.6,33.8 - 46.9,39.7 - 55.2,45.7 - 63.5
products_inc,2.7 - 4.1,4.3 - 6.5,6.0 - 9.0,7.6 - 11.4,9.2 - 13.9,10.9 - 16.3,12.5 - 18.8
fund,135 - 175,217 - 280,298 - 386,379 - 491,460 - 596,542 - 701,623 - 806
total_FCCS,446 - 1967,634 - 2034,885 - 2038,1120 - 2058,1217 - 2058,1247 - 2115,1259 - 2139
total_BECCS,603 - 2593,903 - 2595,1228 - 2595,1464 - 2637,1653 - 2643,1751 - 2643,1753 - 2643
total_CCS,1110 - 4244,1670 - 4372,2276 - 4372,2707 - 4383,3244 - 4383,3293 - 4390,3328 - 4390
total_FCCU,87 - 1364,175 - 1640,220 - 1673,266 - 1739,356 - 1804,432 - 1852,496 - 1890
total_BCCU,123 - 2067,198 - 2357,262 - 2445,401 - 2485,512 - 2485,594 - 2485,667 - 2494
total_CCU,227 - 3543,401 - 3908,498 - 3977,693 - 4018,899 - 4044,1046 - 4066,1218 - 4200
total_Qmethanol,878 - 13805,1554 - 15261,1934 - 15582,2697 - 16003,3568 - 16103,4070 - 16161,4688 - 16274
total_Ppenalty,1597 - 26098,2787 - 27903,3532 - 28293,5077 - 28882,6504 - 29126,7278 - 29236,8519 - 29414
fraction_10_CCS,0.504,0.640,0.736,0.824,0.892,0.940,0.980
fraction_10_CCU,0.052,0.100,0.136,0.180,0.224,0.260,0.308
