mass_taxed,fund,remaining_fund,granulates_inc,products_inc,bag_inc,total_FCCS,total_BECCS,total_CCS,total_FCCU,total_BCCU,total_CCU,total_Ppenalty,total_Qpenalty,total_Qmethanol,potential_CCS,potential_CCU,n_plants
1247209.2263608696,574.2134386354221,101.58495370096085,0.3928637160603344,0.11336932451755768,0.00805218115264159,0,0,0,1772.5963988758353,1760.1155779502215,3532.711976826057,25957309.453806106,-3351507.2647943986,14144113.79514976,0,3532.711976826057,10
1222625.0604489525,545.4437366514389,206.39709788051138,0.32849073466984174,0.12466349050626138,0.010549509750618346,0,0,0,1398.9300171211685,2810.7075295876807,4209.637546708849,30611193.1100488,-3064401.0910694473,17182924.572466135,0,4209.637546708849,10
1141852.3923624945,509.61253144274906,76.29051306379006,0.38512378891520765,0.10289332291591022,0.004610635031889007,0,0,0,648.8118985908241,607.7586628519315,1256.5705614427557,9203403.155372698,-1629869.788031277,4892012.203644502,0,4310.735120505009,2
1172529.391116688,515.4742616081285,54.8323813500447,0.39036718322068437,0.09326443048713806,0.008499521374984753,0,0,0,634.5814876370108,596.9073674432857,1231.4888550802966,8983459.680009756,-596654.7360480438,5025285.169919684,0,4224.690933400462,2
1087341.5640342867,490.1891404833565,12.500297192521625,0.445051171629303,0.12372119787170036,0.007449758245202886,0,0,0,1793.192851689825,2103.833827201423,3897.0266788912477,27367147.72610262,-986171.042009655,14818039.565880224,0,3897.026678891248,10
1118668.8980600731,538.6117502557053,25.284972597841552,0.3766585526436963,0.11542611958068708,0.005262733433258465,0,0,0,1582.0406475073914,2286.3388495245063,3868.3794970318977,27493008.746360812,-2931232.859108442,15353192.100674277,0,4281.507404481907,8
1165592.7687039664,520.7530784959803,48.81915208333122,0.38595408582286495,0.12457194629621177,0.00593549277954258,0,0,0,440.90035649970037,933.9608496232223,1374.8612061229228,9536857.2900527,-1528445.4163624025,5182922.476178235,0,4034.7412029191514,3
1197249.9401218276,541.0314830539136,30.896582250020288,0.4399198853835273,0.11892245810291655,0.0034429614123057286,0,0,0,851.07207921756,746.3049984710783,1597.3770776886383,11693823.67608142,-1041554.6576758644,6306112.831898633,0,3932.4133374328267,3
1141635.440830757,510.24858286784985,8.840573692118582,0.40519943046073287,0.11376019018241282,0.0049468821183848025,0,0,0,988.8826786473585,1456.367099517487,2445.2497781648453,17048693.836281233,-2121740.6671963725,9577749.767469278,0,4155.802948670069,5
1151818.7579732127,534.350545545379,489.1948638210562,0.4522410853525968,0.0930880231482654,0.0038656509873020734,0,0,0,1612.420274029931,2149.808574645492,3762.2288486754233,27616662.86813037,-3903754.244118181,15210584.325092394,0,3762.228848675424,10
1173205.1752759512,527.8577439220707,1.4876813958220794,0.3631964620195657,0.09831964857405544,0.0031384028794031985,0,0,0,744.1135994237902,751.7886367537732,1495.9022361775633,10417852.63927804,-334729.94915970345,5713392.958096626,0,3815.709318442596,3
1155211.7160343695,536.5050845262269,16.03074891961738,0.3711650885317838,0.11772990213306307,0.004109392271190527,0,0,0,1472.4618513170117,2278.8242643949634,3751.286115711975,26543434.882617325,-4103892.165315989,15076203.9474429,0,4151.908904768594,8
1236520.696951889,584.4137242095504,72.44140098273019,0.46258780242698117,0.1145879037030394,0.005561619631450286,0,0,0,408.0361335162413,803.5623233764364,1211.5984568926779,8800823.98771742,-492409.0003257765,4873777.772349611,0,4156.455817395714,2
1139818.956754549,522.0621021306333,848.6414369323819,0.43314406330215505,0.1340895960986281,0.00405283880987925,0,0,0,1610.3844402545922,1988.4712982204276,3598.8557384750197,24917130.815506388,-5428544.43151029,14661833.866801687,0,3598.8557384750193,10
1175627.5756824599,560.1182903814052,164.73093024326067,0.3948499976171763,0.13128755940899992,0.007017340989072764,0,0,0,1421.912089138485,2240.652091055617,3662.564180194102,25546461.08539751,-4742451.359052504,13965400.825991545,0,3662.5641801941024,10
1251989.4290847897,551.3632995805134,18.656325746771827,0.3583338964799467,0.10783869306579585,0.004110867205114236,0,0,0,884.7550493520848,1046.9818992923485,1931.7369486444334,13470883.03685939,-2858389.453336822,7838621.25247083,0,3812.0295045153803,4
1193973.9130838271,548.6450784568676,2.035439002979899,0.35705462843985275,0.1160651319865194,0.0036030427865794347,0,0,0,1033.7658259542518,1112.4123658441213,2146.178191798373,15302196.597294707,-428621.6242223892,8542425.176258123,0,3741.924800288457,5
1101514.8486141127,486.94254508597527,4.088384079574354,0.4090175896941374,0.10444208150116815,0.007100247117439043,0,0,0,575.4826257903883,777.2908084511712,1352.7734342415595,9517429.324344603,-1226261.8918712542,5186674.238988858,0,3450.6200164302777,3
1077743.2141020803,516.7343291535592,16.792128645695954,0.3601961700836795,0.1328415608857211,0.006289173087777316,0,0,0,763.641232403884,911.0206254244772,1674.6618578283612,11947954.508989362,-2143172.13369028,6483801.520963399,0,4271.684807748075,3
1047210.5418189464,469.4164596146135,24.021168300564796,0.3302895118880494,0.11533657205234367,0.006205916930575239,0,0,0,674.1952751347095,743.1874092049453,1417.3826843396548,10220114.471094625,-1817383.6314750402,5685156.877661373,0,3955.859017309545,3
1107757.6834945357,523.9621960807759,61.271134855861646,0.4103168097975271,0.09841293219062767,0.003759493838748537,0,0,0,1973.2375261254392,2342.0241881182787,4315.2617142437175,30495332.110563487,-2672150.8536312417,16388887.177940646,0,4315.261714243718,10
1167390.176907893,556.3481972276446,6.645064407829963,0.4013856346081939,0.1103788459218893,0.009498795333158377,0,0,0,1073.1958971642434,1418.3111615223654,2491.5070586866086,17827224.307980224,-759922.2299891456,9563898.651460798,0,3707.24243069634,6
1154223.0235370097,564.1137954742882,4.598854131114969,0.4423680986433604,0.10267197341273734,0.010938972483526016,0,0,0,1684.2434707350787,1815.9129330200958,3500.1564037551743,25665693.52080388,-3227683.0045594284,13444620.880912522,0,3947.664985057206,8
1233189.5179784442,570.417811347376,123.81424477363677,0.4244776559530218,0.09595717080241,0.0037905691730666987,0,0,0,1598.2876268052667,2284.9550692954977,3883.242696100764,27573211.883480456,-2391047.4146596743,15329096.698424585,0,3883.2426961007636,10
1178770.6155587959,540.3458304931694,696.2295958377521,0.340019941564588,0.10059579215291592,0.0062300067833379715,0,0,0,1350.549341453014,2273.3038401467106,3623.853181599725,25780343.539366167,-886872.7632510903,13932867.147923557,0,3623.8531815997244,10
1137884.6263884208,501.30957695433807,38.043068674203894,0.4061066058134323,0.11295164015876848,0.004220436823957818,0,0,0,1110.6761246712974,1004.2756886189607,2114.951813290258,15304459.182610236,-2720052.9179370143,8079844.217327085,0,3399.521244355925,5
1079397.0942130685,496.80251111167354,26.22413405019997,0.3538299223193,0.09076875959879861,0.005334363641696746,0,0,0,1223.132081897612,1708.5636258999878,2931.6957077975994,20897523.61926373,-4160461.914858651,11641497.923975633,0,3503.8492249645506,7
1140383.282158284,526.9235026652113,273.0321171476511,0.3578570179078174,0.1368156564883787,0.004559978941217573,0,0,0,1158.8613929179196,2250.007851106339,3408.8692440242585,24228527.333887972,-363685.7105149235,12987932.541512517,0,3408.869244024258,10
1193646.1743144104,540.8126435302232,26.819310367137557,0.41715570499227433,0.10081975581358366,0.005014047294294992,0,0,0,1177.5686814756175,2240.666490051877,3418.2351715274945,23911575.277641676,-1904117.4974897623,13113500.630201,0,3418.235171527495,10
1154902.962846974,560.6847877593339,19.00885256983949,0.4829696503490798,0.10638520716549438,0.0031667113016328697,0,0,0,721.4423940870562,893.3828993658808,1614.8252934529369,11159002.069384236,-1426375.5303188,6454046.785048423,0,4119.055223575306,3
1192352.6623523994,576.7800411047652,13.36142769920447,0.4354935829376927,0.09757092100349178,0.005888673248952446,0,0,0,940.1585206493191,1192.9289353723207,2133.08745602164,15444585.71058632,-1550080.9337445458,8249017.128489859,0,4089.567412450285,4
1162786.6034991913,550.94315227363,292.3776952458502,0.4245923855369804,0.09895965648575916,0.003620821243737915,0,0,0,1304.237688727702,2092.4953029661106,3396.7329916938124,24636309.84066776,-2961639.4576008352,13402190.274606775,0,3396.7329916938115,10
1203620.7275654168,589.105422651564,33.434279786890286,0.4159814099961354,0.11673605151311514,0.003411319810755211,0,0,0,1270.0655473711065,1248.7558467864687,2518.821394157575,18164384.744758606,-2921613.723649127,10016706.154321302,0,4048.6912214116337,5
1064551.2097428057,516.2341681670059,33.827902709478195,0.3679895656281665,0.09816479875699377,0.008671510998821498,0,0,0,635.6489779777648,1114.5812751415995,1750.2302531193643,12236890.086713612,-2162347.4188089343,7102361.173988473,0,4308.706370636043,3
1221129.6854235672,590.9578264159485,129.58723409131264,0.42359484165927497,0.10466306558780164,0.005106094065748873,0,0,0,1434.9910458559966,2383.558119901067,3818.5491657570637,27315453.060009826,-5309130.381353727,15030689.495032659,0,3818.5491657570637,10
1056134.2166612314,470.28884643970486,61.71681503081348,0.40921594356978824,0.09295669750932878,0.005877877523717337,0,0,0,520.1034420422098,501.41897671690685,1021.5224187591167,7322595.888871983,-1270084.3506731268,4102708.0077756066,0,3504.389408798637,2
1114397.5475280778,496.58793853211336,56.44977646452682,0.39418426609563495,0.0943861883641486,0.005148466331581747,0,0,0,903.3299206384495,833.555088184762,1736.8850088232116,12084255.908275565,-305157.4147993259,6856440.527413629,0,4275.853128033222,3
1143436.1352318039,508.6927916823462,3.630965790497605,0.37608937148546356,0.1152413785011903,0.007555412093479962,0,0,0,1515.8548107619863,1268.4319529681904,2784.286763730177,19578420.70069304,-3992811.1466605547,10681419.31512043,0,3569.474899522597,7
1100400.786868941,526.5994760482201,21.01555778897253,0.41978360955051636,0.09632945049890533,0.004958375570433916,0,0,0,451.8104734691266,600.218632873236,1052.0291063423624,7269055.106028255,-317871.1707340436,4066748.148313404,0,3840.165358619167,2
1233738.859315122,574.4040847084353,26.907046483905482,0.36382689884244723,0.09491578038765154,0.005102973280638053,0,0,0,1365.2132031590686,2337.047662837182,3702.2608659962507,26150411.011492435,-6020561.086952276,14504357.416799486,0,4097.647948772549,8
1119052.6430495782,552.4504830816339,0.7620835146087757,0.4356468420368718,0.11619189921030991,0.009763820868598835,0,0,0,660.3496894403529,1128.1787037784295,1788.5283932187824,13086483.374325987,-504589.0095303841,7273070.688096037,0,3950.22217399439,4
1165264.5145520172,515.0666384158457,26.488496558973267,0.34477426523805066,0.09254122100915722,0.004058531184660684,0,0,0,1123.7447018794487,1112.579364513636,2236.3240663930846,15525830.70477895,-340026.30535825674,8970662.060513258,0,3899.0967839935893,5
1073616.1670703571,510.7981276137061,369.45878976627245,0.3760726968350577,0.1416527930368339,0.0036291250313012554,0,0,0,1358.3065576598585,1992.9632274132573,3351.2697850731156,24366883.38263185,-1424700.0297956439,13435283.073135674,0,3351.2697850731156,10
1250523.0761762408,596.3581378380508,33.667967717448704,0.3916076770079066,0.12123088761948661,0.004986446250515951,0,0,0,869.8420210662467,934.6341302035512,1804.4761512697978,13266056.96665121,-2137109.177116192,7361315.581367393,0,3814.883960316463,4
1134914.2853553859,557.484013398159,465.8341881656463,0.3766008004955734,0.11221251456803584,0.0067309762466170354,0,0,0,1849.948826024409,2018.6490943309989,3868.597920355408,27363421.51602249,-863860.1700122771,14653207.188871238,0,3868.5979203554075,10
1152563.6293688584,567.2839570410086,26.045250953904343,0.3610882417478529,0.1393569220921873,0.00517502540925599,0,0,0,1005.4048906977393,1203.132977078999,2208.5378677767385,15605418.50830189,-1851407.8537104512,8940650.139610494,0,4234.221371339102,4
1148693.8917006687,563.5820660766797,0.6228133390201549,0.4146810057154873,0.09858421317552507,0.004181271836163736,0,0,0,769.7061258403867,929.2172664104986,1698.9233922508852,11890275.56308279,-522772.82348851213,6496740.922513802,0,3873.5453343320187,4
1122113.5702272092,503.25680957268327,238.23682769554244,0.39203652911501824,0.12656447043647573,0.005969273485412174,0,0,0,1498.9947271602628,2193.909741868139,3692.9044690284018,25546650.94257746,-2576205.594591904,14506905.338212995,0,3692.904469028401,10
1209938.1147016278,556.5989238352494,8.610849447360224,0.44466433364158603,0.12775948367539333,0.005662907964886093,0,0,0,1023.0302946419017,1198.9038157200964,2221.934110361998,15784810.931928407,-1046116.037949561,8549083.054575386,0,3887.728868425597,5
1202359.4868738553,569.2956154896372,20.826811748345577,0.4069525631844796,0.09325702152963065,0.007924225065339439,0,0,0,923.9484022087411,1643.1542524343645,2567.102654643106,18251699.887181677,-2807631.0131610157,10276463.833269384,0,4126.297325576012,5
1100791.5769469063,508.47181062861443,3.97604413073978,0.39226498119863873,0.13273442670366015,0.005864497056106843,0,0,0,872.5704476967653,791.8009481053344,1664.3713958020999,11678951.794193681,-2265284.394716577,6404348.934952699,0,4097.3395491340725,3
1124577.424540762,536.830883661638,33.89316630593048,0.35360359747989867,0.13748256598538583,0.00874010201972507,0,0,0,996.8092982629672,889.2584356786601,1886.0677339416275,13589796.313592484,-56742.21511267352,7265125.090279466,0,3615.9797952153835,4
1240600.089879597,598.8428871926403,30.29468228694042,0.3842947831194904,0.09811698880679598,0.007651662698395628,0,0,0,1474.2396225390871,2612.468358341539,4086.707980880626,29824626.964076262,-2152400.935718904,15848036.86551104,0,4086.7079808806266,10
1268370.1900995418,614.6703216015549,44.58496582402046,0.40102277420386323,0.11836158824245162,0.009681880613063255,0,0,0,828.807944158273,1213.025308289733,2041.833252448006,14699459.172118058,-165606.93129251339,8050933.889921686,0,3914.6143339300716,4
1176200.8930095918,552.3356922380761,58.27125029141254,0.4590157758811527,0.11300218748048291,0.004444943046990986,0,0,0,583.2395726799884,591.9825263892014,1175.2220990691899,8584870.80041793,-234843.21563329647,4627330.137179558,0,4031.664700973471,2
1085087.6975286196,494.1772117159248,43.72752476715672,0.36459140975251775,0.11650092247615008,0.004482734090074953,0,0,0,597.1785979797738,793.8539255542721,1391.032523534046,10086197.544829307,-2169312.3370050807,5605971.422400095,0,4772.014351568186,2
1110047.779755111,547.2003494067341,95.74162375753114,0.4449278054674499,0.14070106752446135,0.008580895677929832,0,0,0,1636.0372359057442,2139.9743345878314,3776.0115704935756,27153021.47166561,-482099.6464095452,14739790.760478646,0,3776.0115704935747,10
1079119.2627120307,502.948191284118,14.60091438302559,0.3661272360110612,0.14097703143058743,0.007366033136342417,0,0,0,936.7129654982316,1294.917181152769,2231.6301466510004,15816644.310783781,-2211283.258222924,8864333.946750632,0,3792.747565753191,5
1142124.5413206962,502.6940899747415,13.213127300472706,0.3427800854587458,0.10377932800054232,0.0053701496042133316,0,0,0,600.7598745817181,601.3196242158814,1202.0794987975996,8549101.076667804,-1071603.1978229608,4878521.850393235,0,3527.686766768401,3
1237033.3040196705,548.7749403592552,13.563618814420536,0.40337807014421173,0.12013336667198407,0.004317514009213085,0,0,0,742.4666695843571,689.5485692336331,1432.0152388179902,10344292.75143764,-893394.4773374017,5693952.90333155,0,3996.697898169984,3
1093033.9577947895,525.8560792701534,37.80694310895554,0.39966917734664026,0.1192915278649056,0.004552124429709094,0,0,0,648.9256668690193,987.4855426898332,1636.4112095588525,11784184.001327682,-1670031.791210865,6642606.2095690295,0,3566.4138420091463,4
1033474.3781010448,479.2824399423598,15.42714979789271,0.46124900688183773,0.10773478748847774,0.005782769629076904,0,0,0,834.4292265020897,828.4887189261611,1662.9179454282507,12317632.79191069,-2812803.99552717,6538040.824016282,0,3515.612546540183,4
1168658.4483856517,567.6615937984059,1.9228075740614088,0.3792631679200212,0.1365539085737895,0.005770321702563436,0,0,0,746.962374243294,748.1253034052521,1495.087677648546,11003332.42787393,-1540338.1869724817,5829205.530289948,0,4172.730580555829,3
1160238.5176136845,520.0115479006499,230.49207857803776,0.3640506815696468,0.11758937785807412,0.003402404799790795,0,0,0,2035.9281948458752,1962.0616092071766,3997.9898040530516,28788997.366431613,-414296.7623916852,15339199.550570711,0,3997.9898040530516,10
1098474.396250489,515.1654562564281,38.177514634385986,0.4357776654308786,0.10583300732024802,0.004452824329277663,0,0,0,767.5142583826178,1006.2036318466091,1773.717890229227,12405919.270603964,-634524.4102483297,7080804.71700305,0,3400.58203534245,4
