,ST,ST_conf,S1,S1_conf
CAPEXref_H2,0.0,0.0,0.0,0.0
CAPEXref_HP,0.0,0.0,0.0,0.0
CAPEXref_capture,0.003947294035177992,0.004871477993218541,-0.015177087818219486,0.01899344727907272
CAPEXref_loading,0.0,0.0,0.0,0.0
CAPEXref_synthesis,0.0,0.0,0.0,0.0
CAPEXref_train,0.0,0.0,0.0,0.0
CEPCI,0.0018404758835678463,0.0027111541560058783,0.0021055265390528054,0.009872396710747963
COP,0.0,0.0,0.0,0.0
CRC,0.07793992561969659,0.07526017262119562,0.01781478981013697,0.039538647814558694
Ccontent,0.05203335525102984,0.036986104355396635,0.07061992472685132,0.07385316934820198
ETS,0.35691398297358495,0.26266543535627734,0.32134918493861864,0.2375221854271602
FLH,0.010395724686245958,0.007598411455482881,0.017745068566608537,0.04988856323616768
LHVf,0.05761289368721495,0.03742504927284962,-0.016825832105311286,0.11357278061090373
LHVmethanol,0.0,0.0,0.0,0.0
OPEXfix,0.006039394044195762,0.007738103475651331,-0.0011756897695047134,0.00845764524354937
camine,0.0,0.0,0.0,0.0
capture_rate,0.02016636919738862,0.01586042250272501,0.03990300786006059,0.06160176677743257
carbon_change,0.009142512991445039,0.008101350019104737,-0.0032990955775935183,0.030760561757751936
celc,0.018391362642971188,0.0187099474548869,0.0022214688560336085,0.027602020173802137
cfraction,0.0038124011304208013,0.00490769336045419,0.0003568611030988753,0.012590798083184081
cheat,1.5410046055833484e-32,3.2626153714159973e-32,6.813395174338436e-18,1.3795449589124727e-17
circulated,0.007523751803178341,0.010534743752803125,0.0004917574956220674,0.015648792177000926
dr,0.02507158167666901,0.02724456597166013,0.00581291944346418,0.03372860548658299
gothenburg,0.0010765049848278588,0.0021644623189445906,0.0020059346569999575,0.004033209358557353
heat_optimism,0.0,0.0,0.0,0.0
k,2.1291685388265762e-32,3.581039161052244e-32,8.529729868970812e-18,2.0340924127791458e-17
mKN39,0.0,0.0,0.0,0.0
malmo,0.0024500283359611907,0.003923350769411325,0.0020048451130856566,0.00864745949402959
mbag,0.0,0.0,0.0,0.0
mgranulates,0.0006396420678078725,0.0012860889386437258,-0.0015462412981040992,0.003108932213887953
n_electrolyzer,0.0,0.0,0.0,0.0
n_is,0.0,0.0,0.0,0.0
n_synthesis,0.0,0.0,0.0,0.0
pKN39,0.0,0.0,0.0,0.0
p_capture,0.0005212671278770403,0.0009527747593633957,-0.0007890908124704268,0.0011166825675941276
p_condition,0.0,0.0,0.0,0.0
pbag,0.0,0.0,0.0,0.0
pgranulates,0.0,0.0,0.0,0.0
pmethanol,0.0,0.0,0.0,0.0
q_distill,0.0,0.0,0.0,0.0
q_electrolyzer,0.0,0.0,0.0,0.0
q_reb,0.0011414368308957615,0.0015220369793860435,-0.0017134103816558975,0.0030917357927780216
q_synthesis,0.0,0.0,0.0,0.0
recyclable,0.0,0.0,0.0,0.0
ship_uncertain,0.011540880425466792,0.01113042374442737,0.0032616126606175157,0.024424135659369114
stockholm,0.0005212671278770403,0.0009527747593633957,-0.0007890908124704268,0.0011166825675941276
storage,0.0071791812297549405,0.006729589660595374,0.007676494289392246,0.018183414118387586
t,0.0018576983649814876,0.0020271636785945523,-0.0009243408130717123,0.0023605490254019037
tax,0.37768658876347866,0.24729850669994877,0.1038413610785699,0.10550605192845437
train_uncertain,0.0,0.0,0.0,0.0
truck_uncertain,2.669765940883253e-32,5.072076924626921e-32,2.648671078846421e-18,1.2915305809066295e-17
