,ST,ST_conf,S1,S1_conf
CAPEXref_H2,0.0021780680624299224,0.0019293427744126424,0.005822597057035912,0.015583257775516245
CAPEXref_HP,0.0,0.0,0.0,0.0
CAPEXref_capture,0.0003061670226248798,0.0005588456925355948,0.001430953449176084,0.006685214391653878
CAPEXref_loading,0.0,0.0,0.0,0.0
CAPEXref_synthesis,0.0,0.0,0.0,0.0
CAPEXref_train,0.0,0.0,0.0,0.0
CEPCI,0.003441148276968878,0.0028350593923305483,-0.0016910637233519836,0.019061533227667606
COP,0.0,0.0,0.0,0.0
CRC,0.0,0.0,0.0,0.0
Ccontent,0.008769704057222421,0.004931967439062565,-0.0004048026383106139,0.045348410404718764
ETS,0.0,0.0,0.0,0.0
FLH,0.001791855269936729,0.0009434526584193777,-0.0041032512813292425,0.017409096143207896
LHVf,0.009448990407507924,0.0056338843675213445,0.02305153340730506,0.04241734945249868
LHVmethanol,0.003284988693814488,0.0021054567984005877,-0.005731938271789643,0.031365048383253186
OPEXfix,0.0035529667079183514,0.003184657863882941,0.0012648717520372921,0.021048299265873635
camine,0.0,0.0,0.0,0.0
capture_rate,0.0040935495008480975,0.0018536437224393664,0.00972955021673117,0.03131625529173616
carbon_change,3.44938908068244e-32,3.265255921701318e-32,2.6268078487307045e-17,5.604023705169831e-17
celc,0.6042028535953686,0.26885829748015483,0.6014978671730217,0.3250134406995892
cfraction,0.00180375599347957,0.0013875563932654739,0.000691565311995531,0.014077888279356347
cheat,0.0015716263369050434,0.0014308333026283682,0.008601371542460563,0.021245869454315593
circulated,0.00742586994874061,0.004031662673973995,0.014788445263431722,0.03543288105584156
dr,0.011350723858144451,0.007533491786888183,0.02832339910182892,0.048546274914510384
gothenburg,0.0,0.0,0.0,0.0
heat_optimism,0.022549813237324478,0.013330880735508156,0.013102278250699644,0.07665865236268664
k,0.0002957462747985461,0.0005363074901379692,0.00334412231847975,0.00414303625313504
mKN39,0.0,0.0,0.0,0.0
malmo,0.0,0.0,0.0,0.0
mbag,0.0,0.0,0.0,0.0
mgranulates,0.00156601469676396,0.0012133740461632828,0.007738565330919935,0.016765799441842446
n_electrolyzer,0.003478785798785888,0.0029602081797689135,3.7973227368628974e-05,0.02585434180705072
n_is,0.0,0.0,0.0,0.0
n_synthesis,0.0006329142856693424,0.0006991297518890301,0.009727260674612274,0.012078957000599952
pKN39,0.0,0.0,0.0,0.0
p_capture,6.62521001416393e-07,1.4160309507634949e-06,7.048018194956994e-06,1.5063993268540667e-05
p_condition,0.0,0.0,0.0,0.0
pbag,0.0,0.0,0.0,0.0
pgranulates,0.0,0.0,0.0,0.0
pmethanol,0.015602571748649296,0.011718888620585618,0.024107644857161513,0.04236055676039455
q_distill,0.0002679914836533588,0.0005393423398317102,-0.0008264305574589923,0.0031718316980373935
q_electrolyzer,0.0009337132804879439,0.0011537736222474839,-0.00245770474824947,0.006945931395340153
q_reb,0.0002890516019315431,0.0005496443326807535,0.0014340228432215341,0.004432024526465266
q_synthesis,0.00038217299643889257,0.000569812804460342,0.003111847310461584,0.005405756890578237
recyclable,0.0,0.0,0.0,0.0
ship_uncertain,0.0,0.0,0.0,0.0
stockholm,0.0,0.0,0.0,0.0
storage,0.0,0.0,0.0,0.0
t,0.0024254573842356166,0.001848130443458753,-0.009714520883689197,0.023160470693514904
tax,0.23076451653080765,0.15017896296359565,0.1869959274967708,0.1482981103335846
train_uncertain,0.0,0.0,0.0,0.0
truck_uncertain,0.0,0.0,0.0,0.0
