,ST,ST_conf,S1,S1_conf
CAPEXref_H2,0.0,0.0,0.0,0.0
CAPEXref_HP,0.0,0.0,0.0,0.0
CAPEXref_capture,0.00425092619318413,0.003720142668327159,0.01647720804668731,0.036812367266870934
CAPEXref_loading,0.0,0.0,0.0,0.0
CAPEXref_synthesis,0.0,0.0,0.0,0.0
CAPEXref_train,0.0,0.0,0.0,0.0
CEPCI,0.0019248956260781145,0.0028478561173146386,-0.00025571433912144066,0.008500005335685026
COP,0.0,0.0,0.0,0.0
CRC,0.11078419992591794,0.12377096083630518,-0.05373022666916317,0.12562382310723308
Ccontent,0.04478689946130251,0.026932169361165086,0.0039397220544566515,0.10212238030272154
ETS,0.10376027558268734,0.07853154506732518,0.1793838656777223,0.14376663272651322
FLH,0.007486935425894899,0.004769759774717008,0.017599534000420778,0.036491265708780446
LHVf,0.05589584182622201,0.039411623049096935,0.12379035320671722,0.08884676443980563
LHVmethanol,0.0,0.0,0.0,0.0
OPEXfix,0.006134918065604423,0.0057349600147157615,-0.014695654988238133,0.03212919286000581
camine,0.0006351391332718153,0.0010094759285976947,0.014250762506775356,0.022649843099174453
capture_rate,0.018302086402167524,0.010444375845380098,0.10568126312668685,0.06987040909463454
carbon_change,0.0037833946199879345,0.0032772687360637077,-0.005254366424777022,0.026050867696899946
celc,0.01932795275379131,0.01781254359674614,0.008270439448741111,0.07319834036372205
cfraction,0.0038030761891505315,0.004334464699200112,-0.005663961906275453,0.018070088956243253
cheat,3.8566216241960204e-33,8.830903095912609e-33,-3.1576096745849536e-18,7.230303557920047e-18
circulated,0.0030999000522293246,0.003727150400988703,0.012279533520553842,0.024484393136229722
dr,0.010744611994681656,0.010982187667080269,0.0012588997101387527,0.024024264491667346
gothenburg,0.0016326073410556274,0.002802329606587855,0.007829074608545063,0.01198506716980253
heat_optimism,0.0,0.0,0.0,0.0
k,0.0,0.0,0.0,0.0
mKN39,0.0,0.0,0.0,0.0
malmo,0.003477589475731218,0.002881575660677808,0.024371575519184605,0.03569688578696243
mbag,0.0,0.0,0.0,0.0
mgranulates,0.0030798709095515887,0.0027972413319970087,0.006438057820329835,0.035055747721738625
n_electrolyzer,0.0,0.0,0.0,0.0
n_is,0.0,0.0,0.0,0.0
n_synthesis,0.0,0.0,0.0,0.0
pKN39,0.0,0.0,0.0,0.0
p_capture,0.0009168649631461542,0.0016337758688487944,0.01705580216476896,0.030391997863066598
p_condition,0.0015520040964179694,0.0017236056660897329,0.031306564671544315,0.03372294702381453
pbag,0.0,0.0,0.0,0.0
pgranulates,0.0,0.0,0.0,0.0
pmethanol,0.0,0.0,0.0,0.0
q_distill,0.0,0.0,0.0,0.0
q_electrolyzer,0.0,0.0,0.0,0.0
q_reb,0.0009168649631461542,0.0016337758688487944,0.01705580216476896,0.030391997863066598
q_synthesis,0.0,0.0,0.0,0.0
recyclable,0.0,0.0,0.0,0.0
ship_uncertain,0.003913631254245169,0.003780075906445679,0.0068397972547676895,0.03457670283018122
stockholm,0.0005690319001086929,0.0011851063093383212,0.003952652479057906,0.008232075197644467
storage,0.0009168649631461542,0.0016337758688487944,0.017055802164768968,0.0303919978630666
t,0.003572112419617234,0.0030244131758053404,0.025928490898428774,0.03548110962907693
tax,0.7478218122925882,0.29829891732599617,0.49494723105857663,0.5736176951135845
train_uncertain,0.0,0.0,0.0,0.0
truck_uncertain,0.0014311744469035783,0.0019162320227911688,0.011831712798749498,0.02308432857432366
