Year,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
LULUCF e-missions,-342.1094761,-351.2963836,-300.6172865,-344.2627717,-347.0223286,-352.590191,-347.2738004,-342.633599,-342.6049052,-327.8027209,-322.423839,-318.4865248,-249.7958912,-257.7890407,-247.3176236,-241.0380579,-229.9846664,-243.7672894,,,,,,,,
"LULUCF: ""with existing measures""",,,,,,,,,,,,,,,,,,,-239.7587149,-239.3884541,-240.1436299,-236.9124533,-236.7978047,-236.4474463,-237.4204972,-239.3597179
"LULUCF:  ""with additional measures""",,,,,,,,,,,,,,,,,,,-248.7234655,-252.4640397,-254.5475623,-252.1762568,-253.6769103,-254.6094009,-256.9169559,-259.7808467
Effort sharing emissions,2466.537744,2463.958181,2401.748074,2433.225889,2338.224395,2380.813779,2292.655121,2270.14783,2239.704198,2166.36081,2200.492119,2225.374744,2232.238219,2209.589243,2191.543298,2070.980223,2153.23815,2105.069987,,,,,,,,
"Effort Sharing:  ""with existing measures""",,,,,,,,,,,,,,,,,,,2077.654908,2055.390504,2026.744977,1995.78364,1961.708802,1925.055274,1888.929425,1850.72794
"Effort Sharing: ""with additional measures""",,,,,,,,,,,,,,,,,,,2042.712705,2009.484759,1969.455318,1924.360085,1876.376493,1825.830053,1774.753321,1721.078601
EU ETS emissions,2058.752029,2057.532023,2084.059352,1958.598884,1739.027519,1784.253569,1761.71895,1710.804755,1655.705177,1588.416717,1598.883838,1575.810365,1589.942762,1526.681823,1384.947895,1224.764189,1308.726704,1283.622084,,,,,,,,
"ETS:  ""with existing measures""",,,,,,,,,,,,,,,,,,,1304.173755,1245.231888,1206.996833,1138.98557,1073.675876,1022.290966,967.0870833,929.776738
"ETS:  ""with additional measures""",,,,,,,,,,,,,,,,,,,1273.093577,1200.249648,1149.098178,1074.989398,1003.591456,948.2770907,884.6643808,837.8550811

