Company/Plant name,Industry/Plant type,Latitude,Longitude,Biogenic,Fossil,Total,Fraction,Green,Integration
Stora Enso Fors,Pulp and paper,60.2074,16.3153,260,0,260,0.000507084,0.999492916,Integrated
Stora Enso Hylte,Pulp and paper,56.9993,13.2351,282,3,286,0.012003208,0.987996792,Integrated
Holmen Braviken,Pulp and paper,58.6398,16.2615,135,11,146,0.076985629,0.923014371,Integrated
Nordic Paper Bäckhammar,Pulp and paper,59.1601,14.1812,530,7,537,0.013,0.987,Integrated
Södra Cell Värö,Pulp and paper,57.2217,12.1719,1814,10,1824,0.00560206,0.99439794,Standalone
Södra Cell Mönsterås,Pulp and paper,57.0915,16.5505,1835,8,1843,0.004368829,0.995631171,Standalone
Metsä Board Husum,Pulp and paper,63.3279,19.1601,1419,72,1491,0.048010334,0.951989666,Integrated
Stora Enso Skutskär,Pulp and paper,60.6436,17.3899,1281,0,1281,0.000110853,0.999889147,Standalone
BillerudKorsnäs Gävle,Pulp and paper,60.6824,17.2733,1181,16,1197,0.013520049,0.986479951,Integrated
BillerudKorsnäs Gruvön,Pulp and paper,59.3383,13.1215,1433,12,1445,0.00819464,0.99180536,Integrated
Smurfit Kappa Kraftliner Piteå,Pulp and paper,65.3148,21.4404,1181,10,1191,0.008604873,0.991395127,Integrated
SCA Östrand,Pulp and paper,62.4753,17.3290,1912,79,1991,0.039671216,0.960328784,Standalone
BillerudKorsnäs Skärblacka,Pulp and paper,58.5798,15.8997,800,21,821,0.025578382,0.974421618,Integrated
Södra Cell Mörrum,Pulp and paper,56.1610,14.7647,1129,13,1141,0.011075969,0.988924031,Standalone
Stora Enso Skoghall ,Pulp and paper,59.3184,13.4376,994,54,1048,0.051262324,0.948737676,Integrated
Holmen Iggesunds bruk,Pulp and paper,61.6386,17.0981,974,14,988,0.01414357,0.98585643,Integrated
BillerudKorsnäs Karlsborg,Pulp and paper,65.7919,23.2877,786,11,798,0.014327143,0.985672857,Integrated
SCA Munksund,Pulp and paper,65.2723,21.5039,643,11,654,0.016860347,0.983139653,Integrated
Stora Enso Nymölla,Pulp and paper,56.0438,14.4798,746,0,746,0,1,Integrated
BillerudKorsnäs Frövi,Pulp and paper,59.4798,15.3287,700,25,725,0.034750505,0.965249495,Integrated
"Vallviks Bruk, Rottneros",Pulp and paper,61.1882,17.1828,558,4,561,0.006813976,0.993186024,Standalone
Mondi Dynäs,Pulp and paper,62.9742,17.7235,617,18,635,0.028163355,0.971836645,Integrated
Domsjö Fabriker,Pulp and paper,63.2693,18.6958,430,3,433,0.005833395,0.994166605,Integrated
Munksjö Aspa Bruk,Pulp and paper,58.7543,14.8051,394,12,406,0.029487764,0.970512236,Standalone
Munksjö Billingsfors,Pulp and paper,58.9878,12.2560,181,16,197,0.081126558,0.918873442,Integrated
SCA Obbola,Pulp and paper,63.7012,20.3211,501,26,527,0.048792066,0.951207934,Integrated
Bergsättersverken Motala,"CHP, Biomass",58.55,15.05,67,0,67,0.00316484,0.99683516,NA
Björksätra Kraftvärmeverk Sandviken,"CHP, Biomass",60.6167,16.7833,73,2,75,0.025225153,0.974774847,NA
Djupedsverket Hudiksvall,"CHP, Biomass",61.733,17.113,49,0,49,0,1,NA
Gällivare Energi,"CHP, Biomass",67.1333,20.6511,82,0,82,0,1,NA
Granskärs Kraftvärmeverk Söderhamn,"CHP, Biomass",61.3112,17.0703,84,0,84,0,1,NA
Hedensbyns Kraftvärmeverk Skellefteå,"CHP, Biomass",64.744,21.044,163,15,178,0.086060259,0.913939741,NA
Ena Kraft HOB Simpan + CHP Enköping,"CHP, Biomass",59.6333,17.0833,148,2,150,0.014215579,0.985784421,NA
Igelsta Kraftvärmeverk Södertälje,"CHP, Biomass",59.178,17.665,505,16,521,0.03033309,0.96966691,NA
Johannes Kraftvärmeverk Gävle,"CHP, Biomass",60.667,17.167,128,0,128,0,1,NA
Jordbro Kraftvärmeverk,"CHP, Biomass",59.15,18.1333,221,0,221,0,1,NA
Kraftvärmeverket Härnösand,"CHP, Biomass",62.646,17.933,70,0,70,0,1,NA
Kraftvärmeverket i Linköping,"CHP, Biomass",58.419,15.625,170,9,180,0.052795515,0.947204485,NA
Kraftvärmeverket Ö-vik Energi Örnsköldsvik,"CHP, Biomass",63.2833,18.7333,231,41,272,0.151055361,0.848944639,NA
Kraftvärmeverket Oceanen Halmstad,"CHP, Biomass",56.655,12.85,48,0,48,0,1,NA
Lugnviksverket Östersund,"CHP, Biomass",63.183,14.65,340,0,340,0,1,NA
Moskogens kraftvärmeverk Kalmar,"CHP, Biomass",56.69,16.16,186,0,186,0,1,NA
Nässjö kraftvärmeverk,"CHP, Biomass",57.65,14.683,68,0,68,0,1,NA
Riskullaverket Mölndal,"CHP, Biomass",57.65,12.017,190,0,190,0,1,NA
Sävenäs Kraftvärmeverk Göteborg,"CHP, Biomass",57.729,12.0275,133,6,139,0.042665192,0.957334808,NA
Assbergsverket Skene,"CHP, Biomass",57.4833,12.6333,53,0,53,0,1,NA
Västhamnsverket Helsingborg,"CHP, Biomass",56.034,12.694,200,0,200,0,1,NA
Borås Sobacken,"CHP, Biomass",57.652,12.9173,169,0,169,0,1,NA
Eskilstuna Kraftvärmeverk,"CHP, Biomass",59.381,16.4982,309,4,312,0.011223319,0.988776681,NA
Hedemora Kraftvärmeverk,"CHP, Biomass",60.2803,15.9869,26,0,26,0,1,NA
Hofors Kraftvärmeverk,"CHP, Biomass",60.55,16.2833,11,0,11,0,1,NA
Bubbetorp Karlskrona,"CHP, Biomass",56.25,15.6167,121,0,121,0,1,NA
PC Väster Katrineholm,"CHP, Biomass",58.9956,16.2061,86,0,86,0,1,NA
Munkegärdesverket Kungälv,"CHP, Biomass",57.8667,11.9667,36,0,36,0,1,NA
Återbruket Lund,"CHP, Biomass",55.6667,13.0833,69,0,69,0,1,NA
Örtofta Kraftvärmeverk Lund,"CHP, Biomass",55.783,13.233,227,0,227,0,1,NA
Energiknuten Landskrona,"CHP, Biomass",55.8703,12.8303,112,0,112,0,1,NA
Skogsbacka Kraftvärmeverk Lycksele,"CHP, Biomass",64.6,18.667,53,7,60,0.118974427,0.881025573,NA
Malå Kraftvärmeverk,"CHP, Biomass",65.1833,18.75,33,0,33,0,1,NA
Mariestad Kraftvämeverk,"CHP, Biomass",58.7,13.8167,63,0,63,0,1,NA
Mjölby Kraftvärmverk,"CHP, Biomass",58.325,15.1306,66,0,66,0,1,NA
Siljan Timber Mora,"CHP, Biomass",61.0167,14.5333,38,0,38,0,1,NA
Munkfors Kraftvärmeverk,"CHP, Biomass",59.8333,13.5333,27,0,27,0,1,NA
Arstaverket Norrtälje,"CHP, Biomass",59.7667,18.7,64,0,64,0,1,NA
Idbäcksverket Nyköping,"CHP, Biomass",58.7436,17.0009,179,1,180,0.005890329,0.994109671,NA
Solkusten Kraftvärmeverk Oskarshamn,"CHP, Biomass",57.265,16.4336,59,0,59,0,1,NA
Silververket Sala,"CHP, Biomass",59.9167,16.6237,64,0,64,0,1,NA
Block 4 Skövde,"CHP, Biomass",58.3842,13.8851,66,0,66,0,1,NA
Biostor Storuman,"CHP, Biomass",65.0882,17.1059,15,0,15,0,1,NA
Strängnäs Kraftvärmeverk,"CHP, Biomass",59.383,17.033,71,2,73,0.021093172,0.978906828,NA
Sveg Kraftvärmeverk,"CHP, Biomass",62.0333,14.3474,15,0,15,0,1,NA
Säter Kraftvärmeverk,"CHP, Biomass",60.3464,15.7467,22,0,22,0,1,NA
Eldaren Tidaholm,"CHP, Biomass",58.1833,13.9422,40,0,40,0.00358307,0.99641693,NA
Lextorp Kraftvärmeverk Trollhättan,"CHP, Biomass",58.2833,12.2833,34,0,34,0,1,NA
Tallholmen Vimmerby,"CHP, Biomass",57.6656,15.8547,58,0,58,0,1,NA
Värnamo Kraftvärmeverk,"CHP, Biomass",57.1847,14.0411,64,0,64,0,1,NA
Älvsbyns Kraftvärmeverk,"CHP, Biomass",65.6833,21.0167,71,0,71,0,1,NA
Allöverket Kristianstad,"CHP, Biomass",56.033,14.133,141,0,141,0,1,NA
Åbyverket Örebro,"CHP, Biomass",59.283,15.217,386,46,433,0.106840442,0.893159558,NA
Sandviksverket Växjö,"CHP, Biomass",56.867,14.817,357,0,357,0,1,NA
Värtaverket Stockholm,"CHP, Biomass",59.3526,18.1057,1006,38,1044,0.036790143,0.963209857,NA
Västermalmsverket Falun,"CHP, Biomass",60.6078,15.633,183,0,183,0,1,NA
Hedenverket Karlstad,"CHP, Biomass",59.386,13.57,290,21,311,0.066942149,0.933057851,NA
Södra Vakten Tranås,"CHP, Biomass",58.0342,14.9756,49,0,49,0.001883162,0.998116838,NA
Beleverket Hässleholm,"CHP, Waste",56.1667,13.7667,46,25,71,0.348611367,0.651388633,NA
